date,location_name,pm25
2024-03-08,Brighton,13.786083333333332
2024-03-08,Dandenong,12.449666666666667
2024-03-08,Melbourne CBD,16.561583333333335
2024-03-08,Melton,12.98875
2024-03-08,Traralgon,11.105708333333334
2024-03-09,Alphington,12.044166666666667
2024-03-09,Brighton,13.318166666666666
2024-03-09,Dandenong,9.613583333333333
2024-03-09,Melbourne CBD,13.281375
2024-03-09,Melton,10.661791666666666
2024-03-09,Traralgon,10.993791666666667
2024-03-10,Alphington,6.299041666666667
2024-03-10,Brighton,7.474583333333333
2024-03-10,Dandenong,7.902083333333334
2024-03-10,Melbourne CBD,8.116625
2024-03-10,Melton,4.396375
2024-03-10,Traralgon,8.925458333333333
2024-03-11,Alphington,8.923875
2024-03-11,Brighton,8.588958333333332
2024-03-11,Dandenong,9.018416666666667
2024-03-11,Melbourne CBD,10.158375
2024-03-11,Melton,7.288749999999999
2024-03-11,Traralgon,8.863333333333333
2024-03-12,Alphington,8.082166666666666
2024-03-12,Brighton,8.33025
2024-03-12,Dandenong,7.731041666666666
2024-03-12,Melbourne CBD,9.894625
2024-03-12,Melton,4.373166666666667
2024-03-12,Traralgon,7.361416666666667
2024-03-13,Alphington,8.081291666666667
2024-03-13,Brighton,9.203416666666667
2024-03-13,Dandenong,7.945416666666667
2024-03-13,Melbourne CBD,9.85275
2024-03-13,Melton,7.174333333333333
2024-03-13,Traralgon,7.542
2024-03-14,Alphington,7.597541666666666
2024-03-14,Brighton,7.135375
2024-03-14,Dandenong,6.7999583333333335
2024-03-14,Melbourne CBD,10.104166666666666
2024-03-14,Melton,4.350499999999999
2024-03-14,Traralgon,4.899916666666667
2024-03-15,Alphington,5.2985
2024-03-15,Brighton,5.888458333333333
2024-03-15,Dandenong,5.6541250000000005
2024-03-15,Melbourne CBD,7.014055555555555
2024-03-15,Melton,6.627375
2024-03-15,Traralgon,4.188958333333334
2024-03-16,Alphington,5.4470833333333335
2024-03-16,Brighton,6.3544583333333335
2024-03-16,Dandenong,3.752083333333333
2024-03-16,Melbourne CBD,6.876434782608696
2024-03-16,Melton,3.786666666666667
2024-03-16,Traralgon,4.066208333333334
2024-03-17,Alphington,13.195083333333333
2024-03-17,Brighton,13.016833333333334
2024-03-17,Dandenong,5.91575
2024-03-17,Melbourne CBD,9.098823529411765
2024-03-17,Melton,6.014375
2024-03-17,Traralgon,6.931875000000001
2024-03-18,Alphington,11.534958333333334
2024-03-18,Brighton,11.958266666666667
2024-03-18,Dandenong,11.494
2024-03-18,Melton,6.371333333333334
2024-03-18,Traralgon,5.344125
2024-03-19,Alphington,9.885041666666666
2024-03-19,Brighton,6.941
2024-03-19,Dandenong,7.622166666666667
2024-03-19,Melbourne CBD,7.5295000000000005
2024-03-19,Melton,5.301458333333334
2024-03-19,Traralgon,6.87925
2024-03-20,Alphington,3.44875
2024-03-20,Brighton,3.4495
2024-03-20,Dandenong,3.1632083333333334
2024-03-20,Melbourne CBD,5.543875
2024-03-20,Melton,0.8651363636363637
2024-03-20,Traralgon,2.8840833333333333
2024-03-21,Alphington,4.133208333333333
2024-03-21,Brighton,4.9107916666666664
