latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-31.52139,116.78021,355.97,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,low,2.0NRT,293.99,6.23,D
-31.4207,117.90803,367,0.36,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,high,2.0NRT,306.92,8.97,D
-31.41527,117.90744,356.62,0.36,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,308.13,8.97,D
-31.40985,117.90684,340.53,0.36,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,304.74,7.54,D
-31.4957,116.63236,352.33,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,303.18,6.78,D
-31.48985,116.63187,367,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,high,2.0NRT,303.05,6.78,D
-31.14267,117.23752,367,0.4,0.6,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,high,2.0NRT,310.9,10.41,D
-31.14237,117.24192,353.44,0.4,0.6,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,308.13,10.41,D
-31.14297,117.23311,335.73,0.4,0.6,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,306.03,6.5,D
-31.03399,117.20653,367,0.4,0.6,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,high,2.0NRT,310.48,13.2,D
-31.03428,117.20219,367,0.4,0.6,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,high,2.0NRT,305.93,13.2,D
-31.03369,117.2109,352.48,0.4,0.6,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,307.87,13.78,D
-31.03458,117.19786,341.09,0.4,0.6,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,304.73,4.82,D
-30.81318,117.67768,336.87,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,low,2.0NRT,308.44,5.13,D
-30.81348,117.67365,346.38,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,308.31,3.71,D
-30.81378,117.66961,335.4,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,306.78,3.71,D
-30.81407,117.66555,337.63,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,305.42,4.93,D
-30.81467,117.65747,351.79,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,306.83,5.17,D
-30.81527,117.64938,335.71,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,low,2.0NRT,305.82,2.66,D
-30.8077,117.67723,333.21,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,low,2.0NRT,308,6.12,D
-30.808,117.67322,349.57,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,309.34,5.5,D
-30.8083,117.66917,337.85,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,307.77,5.5,D
-30.8086,117.6651,349.4,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,305.91,7.7,D
-30.80919,117.65701,348.67,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,305.29,4.21,D
-30.80948,117.65297,338.75,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,305.13,4.21,D
-30.80978,117.64894,350.23,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,306.86,3.77,D
-30.80371,117.65658,336.67,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,304.62,4.21,D
-30.804,117.65258,348.87,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,304.83,4.21,D
-30.80429,117.64856,337.7,0.37,0.58,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,303.85,3.77,D
-30.85191,116.52648,341.66,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,304.76,10.39,D
-30.8522,116.52185,353.11,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,308.03,5,D
-30.84634,116.52148,336.88,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,low,2.0NRT,310.9,5,D
-30.78567,116.66553,332.49,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,low,2.0NRT,307.48,5.98,D
-30.78628,116.65646,346.54,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,308.82,5.54,D
-30.78658,116.65198,350.79,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,308.9,3.79,D
-30.78687,116.64758,347.1,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,308.45,3.79,D
-30.78047,116.65593,335.41,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,low,2.0NRT,307.39,5.54,D
-30.78077,116.65147,334.48,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,low,2.0NRT,307.42,3.79,D
-30.78106,116.64708,334.59,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,low,2.0NRT,307.92,3.79,D
-30.47021,118.30502,342.79,0.34,0.56,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,307.5,2.66,D
-30.47127,118.30452,340.46,0.34,0.56,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,307.82,1.95,D
-30.48147,116.60215,367,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,high,2.0NRT,308.39,10.27,D
-30.48205,116.59282,348.61,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,309.94,4.75,D
-30.48233,116.58816,335.23,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,low,2.0NRT,308.28,4.75,D
-30.48143,116.60373,343.57,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,306.41,4.34,D
-30.48175,116.59908,340.95,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,308.28,4.34,D
-30.48207,116.59441,341.97,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,309.44,5.17,D
-30.48238,116.58974,341.04,0.43,0.62,2026-03-16T00:00:00Z,1899-12-31T05:21:00Z,N,nominal,2.0NRT,308.9,5.17,D
