latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-36.76798,141.60811,331.5,0.33,0.55,2026-05-13,03:51,N,nominal,2.0NRT,286.97,3.21,D
-36.76824,141.60428,327.57,0.33,0.55,2026-05-13,03:51,N,nominal,2.0NRT,287.76,3.08,D
-36.76304,141.60381,367,0.33,0.55,2026-05-13,03:51,N,high,2.0NRT,293.17,14.3,D
-36.18308,147.80692,336.08,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,289.5,6.02,D
-36.76278,141.60764,350.49,0.33,0.55,2026-05-13,03:51,N,nominal,2.0NRT,286.16,15.65,D
-36.7633,141.59999,344.49,0.33,0.55,2026-05-13,03:51,N,nominal,2.0NRT,286.22,14.3,D
-36.3844,145.89084,350.74,0.38,0.44,2026-05-13,03:51,N,nominal,2.0NRT,295.31,7.8,D
-36.66059,141.49324,332.43,0.33,0.55,2026-05-13,03:51,N,nominal,2.0NRT,284.25,3.24,D
-36.65511,141.49658,348.98,0.33,0.55,2026-05-13,03:51,N,nominal,2.0NRT,285.49,35.91,D
-36.65537,141.49275,344.09,0.33,0.55,2026-05-13,03:51,N,nominal,2.0NRT,306.45,36.64,D
-36.65562,141.48891,342.28,0.33,0.55,2026-05-13,03:51,N,nominal,2.0NRT,285.38,36.64,D
-36.37959,144.48117,339.11,0.45,0.47,2026-05-13,03:51,N,nominal,2.0NRT,293.28,4.08,D
-36.25652,145.03848,339.74,0.42,0.45,2026-05-13,03:51,N,nominal,2.0NRT,298.87,14,D
-36.25698,145.03368,352.78,0.42,0.45,2026-05-13,03:51,N,nominal,2.0NRT,302.4,24.13,D
-35.89896,148.19794,336.41,0.45,0.39,2026-05-13,03:51,N,nominal,2.0NRT,288.9,4.71,D
-36.56104,140.41972,328.13,0.38,0.59,2026-05-13,03:51,N,nominal,2.0NRT,278.87,1.78,D
-36.13443,145.62335,334.91,0.39,0.44,2026-05-13,03:51,N,nominal,2.0NRT,295.54,4.91,D
-36.56252,140.42065,326.38,0.38,0.59,2026-05-13,03:51,N,nominal,2.0NRT,279.03,1.98,D
-35.83587,147.67813,336.26,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,290.5,19.41,D
-35.8365,147.67282,354.93,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,294.9,19.41,D
-35.83711,147.66759,329.65,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,291.89,5.04,D
-35.8291,147.67151,347.69,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,296.41,31.42,D
